customer_id,suspicious_activity
SYNCID0000000275,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000278,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000280,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000301,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000302,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000311,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000313,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000317,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000328,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000334,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000337,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000339,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000353,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000357,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000358,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000367,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000372,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000381,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000384,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000386,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000387,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000388,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000392,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000397,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000400,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000403,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000419,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000427,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000431,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000449,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000452,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000460,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000472,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000473,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000480,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000486,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000491,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000499,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000532,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000533,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000539,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000544,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000557,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000558,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000564,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000572,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000574,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000575,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000581,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000596,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000616,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000617,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000619,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000632,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000642,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000648,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000662,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000665,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000668,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000673,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000692,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000696,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000702,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000713,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000717,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000728,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000731,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000743,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000744,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000749,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000753,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000760,"High Value Transactions: total_amount > 739379.64 CAD | High-Risk Industry + Large Volume: industry_code in high_risk_industries & total_amount > 739379.64 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000764,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000774,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000790,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000795,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000814,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000821,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000831,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000838,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000844,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000854,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000862,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000871,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000880,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000888,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000889,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000890,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000900,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000904,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000907,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000917,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000000922,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000926,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000938,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000943,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000000965,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000000971,High Frequency Transactions: transaction_count > 224.00
SYNCID0000000977,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001001,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001008,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001010,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001012,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001017,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001022,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001026,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001031,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001033,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001041,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001045,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001046,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001047,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001062,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001064,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001066,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001067,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001076,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001081,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001094,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001095,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001103,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001105,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001106,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001107,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001115,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001121,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001122,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001124,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001132,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001140,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001141,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001148,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001149,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001174,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001185,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001186,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001196,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001217,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001227,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001229,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001234,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001236,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001239,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001241,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001245,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | High-Risk Industry + Large Volume: industry_code in high_risk_industries & total_amount > 739379.64 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001255,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001271,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001277,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001278,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001281,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001292,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001296,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001299,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001318,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001319,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001320,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001340,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001356,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001359,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001379,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001384,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001386,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001400,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001413,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001421,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001436,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001444,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001448,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001466,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001474,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001476,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001487,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001488,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001498,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001506,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001509,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001515,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001543,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001544,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001563,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001571,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001578,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001583,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001588,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001590,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001592,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001600,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001604,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001606,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001607,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001609,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001610,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001615,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001626,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001637,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001647,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001650,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001653,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001655,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001660,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001670,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001681,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001708,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001721,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001725,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001731,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001735,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001741,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001752,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001755,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001756,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001757,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001759,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001775,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001787,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001789,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001797,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001798,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001801,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001823,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001831,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001835,High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00
SYNCID0000001841,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001849,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001857,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001861,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001870,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001875,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001879,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001880,"High Value Transactions: total_amount > 739379.64 CAD | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
SYNCID0000001889,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001891,High Value Transactions: total_amount > 739379.64 CAD
SYNCID0000001904,High Frequency Transactions: transaction_count > 224.00
SYNCID0000001936,"High Value Transactions: total_amount > 739379.64 CAD | High Frequency Transactions: transaction_count > 224.00 | Inconsistent Business Profile: no employees or sales, yet large transaction volume"
